"Rank","RatingTomatometer","Title","Genre"
1,"99%","Parasite (Gisaengchung) (2019)","ArtHouse&International,Drama"
2,"94%","Avengers: Endgame (2019)","Action&Adventure,Drama,ScienceFiction&Fantasy"
3,"93%","Us (2019)","Horror,Mystery&Suspense"
4,"97%","Toy Story 4 (2019)","Animation,Comedy,Kids&Family,ScienceFiction&Fantasy"
5,"97%","Knives Out (2019)","Drama,Mystery&Suspense"
6,"96%","The Irishman (2019)","Drama,Mystery&Suspense"
7,"98%","The Farewell (2019)","Comedy,Drama"
8,"97%","Booksmart (2019)","Comedy"
9,"94%","Little Women (2019)","Drama"
10,"95%","Marriage Story (2019)","Drama"
11,"91%","Spider-Man: Far From Home (2019)","Action&Adventure,ScienceFiction&Fantasy"
12,"95%","If Beale Street Could Talk (2019)","Drama,Romance"
13,"95%","A Beautiful Day in the Neighborhood (2019)","Drama"
14,"85%","Once Upon a Time In Hollywood (2019)","Comedy,Drama"
15,"97%","Pain and Glory (Dolor y gloria) (2019)","Drama"
16,"90%","Shazam! (2019)","Action&Adventure,ScienceFiction&Fantasy"
17,"92%","Ford v Ferrari (2019)","Action&Adventure,Drama"
18,"99%","Apollo 11 (2019)","Documentary"
19,"97%","Dolemite Is My Name (2019)","Drama"
20,"92%","Uncut Gems (2019)","Drama"
21,"100%","They Shall Not Grow Old (2019)","ArtHouse&International,Documentary"
22,"90%","The Lighthouse (2019)","Drama,Horror,ScienceFiction&Fantasy"
23,"89%","Rocketman (2019)","Drama"
24,"99%","Amazing Grace (2019)","Documentary,Musical&PerformingArts"
25,"99%","Ash Is Purest White (2019)","Drama,Romance"
26,"90%","John Wick: Chapter 3 - Parabellum (2019)","Action&Adventure,Drama"
27,"96%","The Peanut Butter Falcon (2019)","Action&Adventure,Drama"
28,"100%","Honeyland (2019)","Documentary"
29,"100%","Knock Down the House (2019)","Documentary"
30,"94%","Honey Boy (2019)","Drama"
31,"93%","Fighting with My Family (2019)","Comedy"
32,"100%","One Cut of the Dead (Kamera o tomeru na!) (2019)","ArtHouse&International,Comedy,Horror"
33,"96%","Birds of Passage (Pajaros de verano) (2019)","Drama"
34,"98%","Maiden (2019)","Documentary"
